family,topology,iv,nodes,volume_cells,edges,mpi_ranks,omp_threads_per_rank,efficient_volume_seconds,efficient_internal_surface_seconds,efficient_boundary_surface_seconds,efficient_normalization_seconds,efficient_total_seconds,traditional_volume_seconds,traditional_internal_surface_seconds,traditional_boundary_surface_seconds,traditional_total_seconds,efficient_over_traditional_initialization_cost,efficient_weight_entries,traditional_quadrature_points
三棱柱,Prism6,10,745,1024,2616,1,1,0.017306996781375573,0.020790172890687467,0.0005376992519680133,2.983564033005003e-05,0.03866470456436111,0.013566586699137396,0.004819053349566846,0.0008838054436481814,0.019269445492352422,2.006529174890175,167497,652800
三棱柱,Prism6,20,4752,7792,17733,1,1,0.13376561695627204,0.15882079197812474,0.002234047960407194,0.00021126120870815148,0.29503171810351214,0.09874833171016562,0.03961789235505786,0.003650226697701974,0.14201645076292543,2.077447482447101,1166694,4869552
三棱柱,Prism6,40,33694,60832,130023,1,1,1.0494428990472053,1.202436368023443,0.00927946283566632,0.0015928148031373913,2.262751544709452,0.6885652352098135,0.28718340310535306,0.015021223495044202,0.9907698618102107,2.2838316262216893,8678464,37625808
三棱柱,Prism6,80,252780,479936,992801,1,1,8.019131770427682,9.682167489707561,0.03814804149083711,0.012307071094893936,17.751754372720974,5.226983931617228,2.289346884302735,0.06906638069093746,7.585397196610901,2.3402537682077247,66757146,295292208
六面体,Hex8,10,1331,1000,3630,1,1,0.029159878863998297,0.04338715543200073,0.00081313148640001,7.065863945779019e-05,0.07343082442185682,0.02019641002399952,0.006023289512000573,0.0008482967023977769,0.027067996238397868,2.712828233576078,337291,844800
六面体,Hex8,20,9261,8000,26460,1,1,0.23993480815201895,0.41998092957599054,0.0037746136575846903,0.0005502390951524925,0.6642405904807467,0.1413315519919965,0.048140645496014475,0.004087875449593523,0.1935600729376045,3.431702522115031,2536381,6643200
六面体,Hex8,40,68921,64000,201720,1,1,1.8699097904817017,2.8367466162404313,0.014349018912141008,0.004238053960148112,4.725243479594422,1.1258571348311022,0.4038368744153386,0.014986386420695238,1.544680395667136,3.059042823906381,19647961,52684800
六面体,Hex8,80,531441,512000,1574640,1,1,16.38747354652264,23.69664008776881,0.0632224690934906,0.03345603307219733,40.180792136457136,8.480394969461964,3.0922990002262454,0.06974561808070716,11.642439587768916,3.451234754842059,154620721,419635200
四面体,Tet4,10,1331,6000,7930,1,1,0.043375534784004875,0.04794387239199781,0.0007768100391960753,4.017507544135905e-05,0.09213639229064012,0.047262688023987615,0.0207301975119991,0.0017973535511997248,0.06979023908718644,1.3201902371410053,307091,2491200
四面体,Tet4,20,9261,48000,59660,1,1,0.3496942251436942,0.39292525507197057,0.003628308753614814,0.0003016128207386063,0.7465494017900182,0.36294692000778844,0.16696854050393686,0.00945304847520165,0.539368508986927,1.3841175177101648,2287581,19756800
四面体,Tet4,40,68921,384000,462520,1,1,2.7762354027618565,3.200111049386415,0.017238977009466448,0.0023489517765982832,5.995934380934336,2.803516085300942,1.3336957201511412,0.048988249428917115,4.1862000548810006,1.4323095653164573,17628761,157363200
四面体,Tet4,80,531441,3072000,3641840,1,1,22.234362937413035,24.420267310202174,0.09112314874678941,0.018771125731227113,46.764524522093225,26.21523992815418,11.541798126911361,0.2755311038243205,38.032569158889864,1.2295915200133758,138351921,1256140800
