family,topology,iv,nodes,volume_cells,edges,mpi_ranks,omp_threads_per_rank,efficient_volume_seconds,efficient_internal_surface_seconds,efficient_boundary_surface_seconds,efficient_normalization_seconds,efficient_total_seconds,traditional_volume_seconds,traditional_internal_surface_seconds,traditional_boundary_surface_seconds,traditional_total_seconds,efficient_over_traditional_initialization_cost,efficient_weight_entries,traditional_quadrature_points
三棱柱,Prism6,10,745,1024,2616,1,1,0.04229694628160309,0.06090265514079963,0.0007477545887997428,2.9334818624954598e-05,0.10397669082982741,0.013140005080640152,0.004571222040320501,0.0008392862595200224,0.018550513380480676,5.605057320905972,167497,652800
三棱柱,Prism6,20,4752,7792,17733,1,1,0.3228067758085094,0.465066807904278,0.0028411389438048186,0.00020745784274470757,0.7909221804993369,0.09082912711409998,0.03776145355705413,0.0033874575542073944,0.1319780382253615,5.992831770607041,1166694,4869552
三棱柱,Prism6,40,33694,60832,130023,1,1,2.5928225346807894,3.6887801143406023,0.011086372247325612,0.0015768787212141644,6.294265899989931,0.6820323104456252,0.28414976822260973,0.014305864693767146,0.9804879433620021,6.419524016182675,8678464,37625808
三棱柱,Prism6,80,252780,479936,992801,1,1,20.511212815623015,29.752478234815435,0.04752721801922251,0.012014485387545501,50.32323275384522,5.405590442079878,2.2938843915307143,0.07476667113324613,7.774241504743838,6.473072996656717,66757146,295292208
六面体,Hex8,10,1331,1000,3630,1,1,0.07081718532799604,0.11762863366400778,0.000734908932800922,6.965475199319331e-05,0.18925038267679792,0.019247111727997167,0.005814376863999412,0.000873643572799703,0.02593513216479628,7.297066445401878,337291,844800
六面体,Hex8,20,9261,8000,26460,1,1,0.5827750926159536,0.9744121568080116,0.0031037159808352628,0.0005306441951075857,1.5608216095999081,0.13876842731194491,0.04686633665601585,0.0032805566655908654,0.18891532063355163,8.262017100389178,2536381,6643200
六面体,Hex8,40,68921,64000,201720,1,1,5.8073528053258,8.02829793466324,0.016171440683195135,0.004169039010495319,13.85599121968273,1.0959146754873441,0.3857086377435844,0.014668248187134218,1.4962915614180627,9.260221454802,19647961,52684800
六面体,Hex8,80,531441,512000,1574640,1,1,151.0088132221266,70.80027238460579,0.11674099431923587,0.03327998655439371,221.95910658760604,8.347088531892291,3.024816343947745,0.054122442249707185,11.426027318089742,19.425746185307933,154620721,419635200
四面体,Tet4,10,1331,6000,7930,1,1,0.111275583040015,0.13876656152000186,0.0012024173520014199,3.958184520929115e-05,0.2512841437572276,0.04753417685600057,0.020939821927997586,0.0017656094927975534,0.07023960827679572,3.577527693021624,307091,2491200
四面体,Tet4,20,9261,48000,59660,1,1,0.8998938241518644,1.1071637765761544,0.004777605428709559,0.00030107875225914363,2.012136284908987,0.3504497955439667,0.16370385527211628,0.009036223313637464,0.5231898741297204,3.845900665138055,2287581,19756800
四面体,Tet4,40,68921,384000,462520,1,1,7.302460046195693,8.924243584602033,0.018975612839995677,0.0022643152042684765,16.24794355884199,2.868801582315592,1.2812845676549667,0.03778583776663973,4.187871987737199,3.8797612740835272,17628761,157363200
四面体,Tet4,80,531441,3072000,3641840,1,1,60.91939939695525,71.68413915511911,0.07944629282141595,0.018334857929697627,132.7013197028255,23.45856876954573,11.145935500651957,0.20937997085781726,34.813884241055504,3.811735535856489,138351921,1256140800
