mode,mesh,nodes,region,variables,component,quantity,L1,L2,Linf
efficient,10,745,all,conservative,rho,dx,2.043787019991362e-16,3.8886337878318196e-16,4.4158622749092616e-15
efficient,10,745,all,conservative,rho,dy,2.1649741356107675e-16,4.4162639760027147e-16,3.809308757644035e-15
efficient,10,745,all,conservative,rho,dz,3.2716252019284426e-16,5.844274119701563e-16,4.134996313995103e-15
efficient,10,745,all,conservative,rho,gradient,5.546633014500069e-16,8.293394975992645e-16,5.55972554075667e-15
efficient,10,745,all,conservative,rho,mean,3.8620739575037055e-16,5.014772385398842e-16,1.7069679003611782e-15
efficient,10,745,all,conservative,rho,value,2.1820435872259779e-16,3.167844904932848e-16,1.7973903615464693e-15
efficient,10,745,all,conservative,rhoE,dx,6.637885134042151e-16,1.2919595644304821e-15,1.0450043675985961e-14
efficient,10,745,all,conservative,rhoE,dy,6.301231839577429e-16,1.2063615781533918e-15,1.1583151201505324e-14
efficient,10,745,all,conservative,rhoE,dz,1.058235862789092e-15,1.8047966754007763e-15,1.1113776999388536e-14
efficient,10,745,all,conservative,rhoE,gradient,1.7369529574398705e-15,2.526214324420206e-15,1.3893208291717577e-14
efficient,10,745,all,conservative,rhoE,mean,1.1841077644823633e-15,1.4911418092841715e-15,5.067560954197248e-15
efficient,10,745,all,conservative,rhoE,value,1.559917197933119e-15,1.9647689099902595e-15,6.450569245419757e-15
efficient,10,745,all,conservative,rhou,dx,6.380633575966118e-17,1.2248664227496356e-16,1.0515863218185303e-15
efficient,10,745,all,conservative,rhou,dy,6.622516092210248e-17,1.3625276581705047e-16,1.4450297376863638e-15
efficient,10,745,all,conservative,rhou,dz,9.758684176623556e-17,1.6607885386682975e-16,1.0377521562074995e-15
efficient,10,745,all,conservative,rhou,gradient,1.6679231092072287e-16,2.472852187865476e-16,1.454498844292875e-15
efficient,10,745,all,conservative,rhou,mean,1.199972596931074e-16,1.4705632835021968e-16,4.973235365191009e-16
efficient,10,745,all,conservative,rhou,value,7.380740498661448e-17,9.829093158587285e-17,5.02852967598777e-16
efficient,10,745,all,conservative,rhov,dx,3.0424881137883735e-17,5.919068650584466e-17,4.665931811927149e-16
efficient,10,745,all,conservative,rhov,dy,3.338476586740052e-17,6.552759286365497e-17,5.835438672530634e-16
efficient,10,745,all,conservative,rhov,dz,5.302429217573259e-17,8.919427514162813e-17,6.097137971914322e-16
efficient,10,745,all,conservative,rhov,gradient,8.582861335939981e-17,1.2551104140105986e-16,7.124537018570609e-16
efficient,10,745,all,conservative,rhov,mean,6.220213881020006e-17,7.76012203177696e-17,2.5400146395904155e-16
efficient,10,745,all,conservative,rhov,value,3.76727681491562e-17,4.993977655415217e-17,3.5236570605778894e-16
efficient,10,745,all,conservative,rhow,dx,2.0220473105871673e-17,3.539658828000114e-17,3.648662182933679e-16
efficient,10,745,all,conservative,rhow,dy,2.3096833785461672e-17,4.5165471235649336e-17,4.87940952562365e-16
efficient,10,745,all,conservative,rhow,dz,3.1122063321275187e-17,5.160955231300439e-17,3.215769054580424e-16
