category,quantity,component_or_norm,grid_subset,points,order,r_squared
static_L2,jump_quadrature,rho,all_grids,4,2.528024528130651,0.9917223433976281
static_L2,jump_quadrature,rho,finest_three,3,2.802540524648054,0.9992759632608202
static_L2,jump_quadrature,rhou,all_grids,4,2.5094957719593216,0.9922203235536247
static_L2,jump_quadrature,rhou,finest_three,3,2.775303827984152,0.9995118558821687
static_L2,jump_quadrature,rhov,all_grids,4,2.524849191704981,0.992246015068538
static_L2,jump_quadrature,rhov,finest_three,3,2.7912552321156694,0.9994462584812865
static_L2,jump_quadrature,rhow,all_grids,4,,
static_L2,jump_quadrature,rhow,finest_three,3,,
static_L2,jump_quadrature,rhoE,all_grids,4,2.451628121342287,0.9887728948271401
static_L2,jump_quadrature,rhoE,finest_three,3,2.76129021398086,0.9989313156252448
static_L2,jump_face,rho,all_grids,4,2.5243253261316134,0.9916293153669811
static_L2,jump_face,rho,finest_three,3,2.8005144653579532,0.999330829707608
static_L2,jump_face,rhou,all_grids,4,2.509775046647967,0.9925279560878157
static_L2,jump_face,rhou,finest_three,3,2.77021743328252,0.999524254117564
static_L2,jump_face,rhov,all_grids,4,2.52747933481566,0.9927066980356763
static_L2,jump_face,rhov,finest_three,3,2.786311634483835,0.9995046124708732
static_L2,jump_face,rhow,all_grids,4,,
static_L2,jump_face,rhow,finest_three,3,,
static_L2,jump_face,rhoE,all_grids,4,2.4488352755002536,0.988901210829162
static_L2,jump_face,rhoE,finest_three,3,2.756957066294237,0.9990247809670958
static_L2,roe_quadrature,rho,all_grids,4,2.5297864619629813,0.9921367790768704
static_L2,roe_quadrature,rho,finest_three,3,2.7964764667181012,0.9991945153805104
static_L2,roe_quadrature,rhou,all_grids,4,2.501175470353034,0.9917386145025671
static_L2,roe_quadrature,rhou,finest_three,3,2.7728931140748827,0.9993231769642749
static_L2,roe_quadrature,rhov,all_grids,4,2.511150941975916,0.9919121231550585
static_L2,roe_quadrature,rhov,finest_three,3,2.7811714513081434,0.9993505231167362
static_L2,roe_quadrature,rhow,all_grids,4,,
static_L2,roe_quadrature,rhow,finest_three,3,,
static_L2,roe_quadrature,rhoE,all_grids,4,2.47388863176938,0.9903997882562205
static_L2,roe_quadrature,rhoE,finest_three,3,2.762693767749779,0.9990837915620132
static_L2,roe_face,rho,all_grids,4,2.5207772791397685,0.9918968024926145
