mesh,component,quantity,baseline_surface_order,comparison_surface_order,surface_q3_L2,comparison_L2,absolute_change,relative_change
iv40,rho,jump_quadrature,3,5,0.0010203585811791596,0.001020373562151499,1.4980972339387333e-08,1.4682066300730767e-05
iv40,rhou,jump_quadrature,3,5,0.0020451894019495815,0.0020452190899494884,2.9687999906959778e-08,1.4516014936738486e-05
iv40,rhov,jump_quadrature,3,5,0.0020672330144197383,0.0020672648341086997,3.181968896140072e-08,1.5392405567915546e-05
iv40,rhow,jump_quadrature,3,5,0.0,0.0,0.0,
iv40,rhoE,jump_quadrature,3,5,0.006077973691511616,0.0060780677899577905,9.409844617478541e-08,1.5481877834844227e-05
iv40,rho,jump_face,3,5,0.0009876665595916388,0.0009876665595916388,0.0,0.0
iv40,rhou,jump_face,3,5,0.001977071667399842,0.0019770716673998424,4.336808689942018e-19,2.220446049250313e-16
iv40,rhov,jump_face,3,5,0.0019936151877909644,0.0019936151877909644,0.0,0.0
iv40,rhow,jump_face,3,5,0.0,0.0,0.0,
iv40,rhoE,jump_face,3,5,0.005867149847118414,0.005867149847118414,0.0,0.0
iv40,rho,roe_quadrature,3,5,0.0008421398973985203,0.0008421571053643861,1.7207965865824806e-08,2.043361906856056e-05
iv40,rhou,roe_quadrature,3,5,0.0017176630688676244,0.0017177048981441392,4.182927651474877e-08,2.435243399756537e-05
iv40,rhov,roe_quadrature,3,5,0.0017252749834875587,0.0017253219870556682,4.7003568109547575e-08,2.7244102279055937e-05
iv40,rhow,roe_quadrature,3,5,4.1347820431701327e-17,4.1434908930027013e-17,8.708849832568619e-20,
iv40,rhoE,roe_quadrature,3,5,0.005488870599207421,0.005489022730415859,1.5213120843800276e-07,2.7716304417779725e-05
iv40,rho,roe_face,3,5,0.0008101128055776027,0.0008101094380281797,-3.367549422910593e-09,-4.156889509387973e-06
iv40,rhou,roe_face,3,5,0.0016617968102250026,0.0016617989365078556,2.126282852912831e-09,1.279508324847356e-06
iv40,rhov,roe_face,3,5,0.0016698458177900122,0.0016698482297879515,2.4119979392684537e-09,1.4444435010307899e-06
iv40,rhow,roe_face,3,5,7.058096631591506e-18,5.4604082563735424e-18,-1.5976883752179633e-18,
iv40,rhoE,roe_face,3,5,0.005294750312907184,0.005294757073694067,6.760786883455716e-09,1.2768849302347007e-06
iv40,rho,central_rhs,3,5,0.0017176059069810479,0.0017176059069810565,8.673617379884035e-18,5.10702591327572e-15
iv40,rhou,central_rhs,3,5,0.0036240802921783657,0.0036240789282466655,-1.3639317002211993e-09,-3.763525060485051e-07
iv40,rhov,central_rhs,3,5,0.0036289929887585114,0.003628991937332899,-1.0514256123736465e-09,-2.897293038817139e-07
iv40,rhow,central_rhs,3,5,8.419350117235505e-06,8.419825855657327e-06,4.757384218216794e-10,5.6505361482495076e-05
iv40,rhoE,central_rhs,3,5,0.011675072453619609,0.011675070888133793,-1.5654858156327611e-09,-1.3408788868130017e-07
iv40,rho,roe_rhs,3,5,0.003467528855652174,0.003467510150218815,-1.8705433358929408e-08,-5.394456437879391e-06
iv40,rhou,roe_rhs,3,5,0.007573127822654244,0.0075731511678247595,2.3345170515470803e-08,3.0826325743138483e-06
iv40,rhov,roe_rhs,3,5,0.007589023047366482,0.007589050013209191,2.6965842708955023e-08,3.553269312783769e-06
iv40,rhow,roe_rhs,3,5,6.562691339324513e-17,4.9151121233168706e-17,-1.6475792160076426e-17,
iv40,rhoE,roe_rhs,3,5,0.02403794605847685,0.02403804387079685,9.781232000044549e-08,4.069079769131179e-06
iv40,rho,total_rhs,3,5,0.0038644001747499585,0.0038643813359388875,-1.8838811071016093e-08,-4.874963828616075e-06
iv40,rhou,total_rhs,3,5,0.008510100669516218,0.008510119075869066,1.8406352848138186e-08,2.1628830919606656e-06
iv40,rhov,total_rhs,3,5,0.008336361440624388,0.008336388041175506,2.660055111770865e-08,3.190906645134106e-06
iv40,rhow,total_rhs,3,5,8.41935011723559e-06,8.419825855657373e-06,4.757384217827159e-10,5.650536147783214e-05
