family,topology,iv,execution,mpi_ranks,omp_threads_per_rank,nodes,volume_cells,domain_volume,mean_cell_volume,mean_volume_equivalent_size,efficient_steps,traditional_steps,efficient_initialize_seconds,traditional_initialize_seconds,efficient_march_seconds,traditional_march_seconds,algorithm_speedup,efficient_total_seconds,traditional_total_seconds,efficient_pss_gib,traditional_pss_gib,pss_saved_gib,pss_ratio,pss_reduction_percent,efficient_max_rank_hwm_mib,traditional_max_rank_hwm_mib
三棱柱,Prism6,10,串行,1,1,745,1024,400.0,0.390625,0.7286866407404023,60,60,0.212908953,0.197310871,0.742564161,7.77205159,10.466505115912806,0.955473114,7.969362461,0.11034297943115234,0.13066864013671875,0.020325660705566406,1.18420438536598,15.555117650493372,175.76171875,196.5859375
三棱柱,Prism6,20,串行,1,1,4752,7792,400.0,0.0513347022587269,0.37096504877800396,124,124,1.520147127,1.312448769,11.75172349,122.16577952099999,10.39556279765735,13.271870617,123.47822828999999,0.18847274780273438,0.3372831344604492,0.14881038665771484,1.7895591717772785,44.1203165689759,255.68359375,408.15234375
三棱柱,Prism6,40,8 核 MPI 并行,8,1,33694,60832,400.0,0.006575486586007364,0.1871344505351304,266,266,2.340454315,2.110523431,29.942676044,280.974118076,9.383734361722237,32.283130359,283.084641507,1.1958837509155273,2.332137107849121,1.1362533569335938,1.9501369644530393,48.721550422973856,306.1328125,467.890625
三棱柱,Prism6,80,32 核 MPI 并行,32,1,252780,479936,399.99999999999994,0.0008334444592612348,0.09405393079715829,548,548,8.943755207,8.495829321,176.211341592,1260.76718918,7.154858352416284,185.155096799,1269.263018501,11.557071685791016,20.033190727233887,8.476119041442871,1.7334140751124647,42.31037959380135,818.7265625,1115.9375
六面体,Hex8,10,串行,1,1,1331,1000,400.00000000000006,0.4000000000000001,0.7368062997280772,63,63,0.321678448,0.23336235299999997,1.422194158,10.703061590999999,7.525738683986353,1.743872606,10.936423944,0.11946582794189453,0.14350032806396484,0.024034500122070312,1.2011830540676465,16.748742282566077,185.046875,209.703125
六面体,Hex8,20,串行,1,1,9261,8000,400.00000000000006,0.05000000000000001,0.3684031498640386,129,129,2.5068758730000003,1.764206108,23.578304838,190.531694306,8.08080545294034,26.085180711,192.295900414,0.2626619338989258,0.4463338851928711,0.1836719512939453,1.6992712973956234,41.151245152398964,331.6640625,519.93359375
六面体,Hex8,40,8 核 MPI 并行,8,1,68921,64000,400.0,0.00625,0.1842015749320193,262,263,3.612262072,2.473678868,56.384250376,384.079288347,6.811818651232502,59.996512448,386.55296721499997,1.8995790481567383,3.328030586242676,1.4284515380859375,1.7519832035797822,42.92182722090453,408.36328125,592.60546875
六面体,Hex8,80,32 核 MPI 并行,32,1,531441,512000,400.0,0.00078125,0.09210078746600968,527,528,13.027296049,9.137420078,352.15247331,1738.351098076,4.936359190485448,365.17976935900003,1747.488518154,20.246549606323242,31.02025032043457,10.773700714111328,1.5321252718906027,34.731185605598284,1172.6484375,1552.265625
四面体,Tet4,10,串行,1,1,1331,6000,400.0,0.06666666666666667,0.40548013303822655,63,63,0.623846871,0.698907129,1.8247971600000001,31.680673552999995,17.361202794177952,2.448644031,32.379580682,0.13245391845703125,0.2238454818725586,0.09139156341552734,1.6899876159207419,40.827968762648105,198.375,291.953125
四面体,Tet4,20,串行,1,1,9261,48000,400.0,0.008333333333333333,0.2027400665191133,129,129,5.254208352,5.756817883,32.385488412,540.8662219600001,16.700882045663064,37.639696764,546.6230398430001,0.3628578186035156,1.082620620727539,0.7197628021240234,2.9835945795355387,66.48338192933466,434.48828125,1171.53125
四面体,Tet4,40,8 核 MPI 并行,8,1,68921,384000,400.00000000000006,0.0010416666666666669,0.10137003325955665,263,263,9.628892569,10.492131318,76.64585716799999,1123.90129103,14.663562161833767,86.274749737,1134.393422348,2.9649763107299805,8.60221004486084,5.637233734130859,2.901274460011779,65.53238882487732,743.14453125,1497.03515625
四面体,Tet4,80,32 核 MPI 并行,32,1,531441,3072000,399.99999999999994,0.0001302083333333333,0.05068501662977832,529,530,46.801082707,49.439110441,412.866101761,4866.9534013170005,11.788212644627297,459.66718446799996,4916.392511758,35.13808727264404,78.54401016235352,43.40592288970947,2.235295551317677,55.26318658798773,3957.37890625,5005.63671875
