family,topology,iv,execution,mpi_ranks,omp_threads_per_rank,nodes,volume_cells,mean_cell_volume,mean_volume_equivalent_size,efficient_steps,traditional_steps,efficient_initialize_seconds,traditional_initialize_seconds,efficient_march_seconds,traditional_march_seconds,march_speedup,efficient_total_seconds,traditional_total_seconds,total_speedup,efficient_after_initialize_pss_gib,traditional_after_initialize_pss_gib,efficient_t2_pss_gib,traditional_t2_pss_gib,pss_ratio,pss_reduction_percent,efficient_aggregate_hwm_gib,traditional_aggregate_hwm_gib,efficient_max_rank_hwm_mib,traditional_max_rank_hwm_mib
三棱柱,Prism6,10,1 MPI 串行,1,1,745,1024,0.390625,0.7286866407404023,60,60,0.128866319,0.184855603,0.694002051,7.130905564,10.275049697223444,0.82286837,7.315761167,8.89056067011058,0.10890007019042969,0.13011646270751953,0.10909366607666016,0.13030719757080078,1.1944524577552822,16.27963143218894,0.17028045654296875,0.1915435791015625,174.3671875,196.140625
三棱柱,Prism6,20,1 MPI 串行,1,1,4752,7792,0.0513347022587269,0.37096504877800396,124,124,0.846498866,1.297472139,10.606685037,111.0013085,10.465221519521585,11.453183903,112.298780639,9.805027282377342,0.1794719696044922,0.33562183380126953,0.17975807189941406,0.33580493927001953,1.8680937980794736,46.46949735457249,0.24102401733398438,0.3969764709472656,246.80859375,406.50390625
三棱柱,Prism6,40,8 MPI 并行,8,1,33694,60832,0.006575486586007364,0.1871344505351304,266,266,1.559132908,2.057020958,26.620673934,261.82214864900004,9.835293775737213,28.179806841999998,263.87916960700005,9.364122723996351,1.1286859512329102,2.318828582763672,1.1298465728759766,2.3204383850097656,2.053764148793396,51.308917307398296,2.0334434509277344,3.1986618041992188,304.0625,466.796875
三棱柱,Prism6,80,32 MPI 并行,32,1,252780,479936,0.0008334444592612348,0.09405393079715829,548,548,8.304462444,10.28542928,216.25883350799998,1438.9835086659998,6.653987193604131,224.56329595199998,1449.2689379459998,6.453721351933571,11.039163589477539,19.93651294708252,11.045265197753906,19.94368267059326,1.8056318534252016,44.617724919781104,17.23952865600586,26.147674560546875,798.08984375,1110.94140625
六面体,Hex8,10,1 MPI 串行,1,1,1331,1000,0.4000000000000001,0.7368062997280772,63,63,0.150429086,0.219569503,1.3185836640000002,9.767182428,7.4073285561347575,1.46901275,9.986751931,6.798274508509201,0.1166696548461914,0.14284133911132812,0.11693572998046875,0.14310455322265625,1.2237880863835062,18.286506370954843,0.1781158447265625,0.204376220703125,182.390625,209.28125
六面体,Hex8,20,1 MPI 串行,1,1,9261,8000,0.05000000000000001,0.3684031498640386,129,129,1.113523903,1.682190359,21.15175468,158.524908432,7.494645755413044,22.265278583,160.207098791,7.195378139724756,0.24510955810546875,0.44356536865234375,0.24542999267578125,0.44388580322265625,1.8086045571823806,44.708753716849145,0.3066673278808594,0.5051383972167969,314.02734375,517.26171875
六面体,Hex8,40,8 MPI 并行,8,1,68921,64000,0.00625,0.1842015749320193,262,263,1.786056839,2.402183619,51.541708397,350.975843703,6.809550063797045,53.327765236,353.37802732200004,6.626529834095598,1.762094497680664,3.307188034057617,1.7662420272827148,3.309779167175293,1.8739103226227958,46.6356533753247,2.723102569580078,4.219745635986328,384.1328125,589.75
六面体,Hex8,80,32 MPI 并行,32,1,531441,512000,0.00078125,0.09210078746600968,527,528,7.686552999,9.073255622,360.98636934900003,1928.38717756,5.341994438841661,368.67292234800004,1937.460433182,5.255228457904431,19.165233612060547,30.872108459472656,19.170619010925293,30.879876136779785,1.610791812157,37.91873087181222,27.739643096923828,39.470550537109375,1135.125,1549.0234375
四面体,Tet4,10,1 MPI 串行,1,1,1331,6000,0.06666666666666667,0.40548013303822655,63,63,0.404926985,0.658169626,1.606654995,28.657491819,17.8367427407774,2.01158198,29.315661445,14.573436099780533,0.12935543060302734,0.22307205200195312,0.1296072006225586,0.22327423095703125,1.72269927816163,41.95156330087135,0.19086456298828125,0.2845191955566406,195.4453125,291.34765625
四面体,Tet4,20,1 MPI 串行,1,1,9261,48000,0.008333333333333333,0.2027400665191133,129,129,3.219280819,5.389848301,25.703970914000003,465.857105889,18.12393530352405,28.923251733000004,471.24695419,16.29301430351728,0.34187793731689453,1.0771522521972656,0.3421335220336914,1.0774211883544922,3.1491248853668123,68.245146305669,0.4033050537109375,1.1387252807617188,412.984375,1166.0546875
四面体,Tet4,40,8 MPI 并行,8,1,68921,384000,0.0010416666666666669,0.10137003325955665,263,263,7.708802296,9.990400594,60.985610342,1030.116342751,16.89113771222803,68.694412638,1040.106743345,15.14106756871285,2.798511505126953,8.55842113494873,2.799175262451172,8.560699462890625,3.058293482986207,67.30202625865812,3.7728118896484375,9.43526840209961,722.1171875,1491.72265625
四面体,Tet4,80,32 MPI 并行,32,1,531441,3072000,0.0001302083333333333,0.05068501662977832,529,530,43.869720739,52.753086244,419.258210101,5368.29944132,12.804279825615742,463.12793084,5421.052527564,11.705302501905999,33.866533279418945,78.21413993835449,33.869887351989746,78.21798133850098,2.309366444760435,56.69808045107643,42.68069839477539,87.16031646728516,3953.90625,4995.16796875
